"UserPrincipalName","Department","DisplayName","IsDeleted","DeletedDate","HasExchangeLicense","HasOneDriveLicense","HasSharePointLicense","HasSkypeForBusinessLicense","HasYammerLicense","HasTeamsLicense","ExchangeLastActivityDate","OneDriveLastActivityDate","SharePointLastActivityDate","SkypeForBusinessLastActivityDate","YammerLastActivityDate","TeamsLastActivityDate","ExchangeLicenseAssignDate","OneDriveLicenseAssignDate","SharePointLicenseAssignDate","SkypeForBusinessLicenseAssignDate","YammerLicenseAssignDate","TeamsLicenseAssignDate","AssignedProducts","LastActivityDate","TeamChatMessageCount","PrivateChatMessageCount","CallCount","MeetingCount","HasOtherAction","ReportPeriod"
"dfoggi@thefoggi.com","P&D","Deivid de Foggi","False","","True","True","True","True","True","True","2020-12-16","2020-08-24","2021-01-14","","","2021-01-08","2020-11-19","2020-11-19","2020-11-19","2020-11-19","2020-11-19","2020-11-19","MICROSOFT POWER AUTOMATE FREE+POWER BI (FREE)+MICROSOFT TEAMS EXPLORATORY+OFFICE 365 E5","2021-01-08","0","0","1","0","No","180"
"dmarc@thefoggi.com",,"dmarc","False","","True","True","True","True","True","True","2021-01-08","","","","","","2020-12-24","2020-12-24","2020-12-24","2020-12-24","2020-12-24","2020-12-24","OFFICE 365 E3","","0","0","0","0","No","180"
"ediscoveryadmin1@thefoggi.com","Security Office","eDiscovery Admin 1","False","","True","True","True","True","True","True","2020-06-04","","","","","","2020-02-20","2020-02-20","2020-02-20","2020-02-20","2020-02-20","2020-02-20","AZURE INFORMATION PROTECTION PREMIUM P1+OFFICE 365 E5+POWER BI (FREE)","","0","0","0","0","No","180"
"ediscoverymanager1@thefoggi.com",,"eDiscovery Manager 1","False","","False","False","False","False","False","False","2020-06-04","","2020-08-25","","","","","","","","","","POWER BI (FREE)","","0","0","0","0","No","180"
"ediscoverymanager2@thefoggi.com",,"eDiscovery Manager 2","False","","False","False","False","False","False","False","2020-06-04","","","","","","","","","","","","POWER BI (FREE)","","0","0","0","0","No","180"
"eduardoz@thefoggi.com",,"Eduardo Zarpel??o","False","","True","True","True","True","True","True","","","","","","","2020-09-11","2020-09-11","2020-09-11","2020-09-11","2020-09-11","2020-09-11","OFFICE 365 E5","","0","0","0","0","No","180"
"emperorpalpatine@thefoggi.com","Board of Directors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ewsuser@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Finance_Shared@foggioncloud.onmicrosoft.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"helpdesk1@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"itau_ews_account@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mgmtapi@thefoggi.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"newuser1@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"newuser2@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"newuser3@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"oda@foggioncloud.onmicrosoft.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"oda@thefoggi.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"remotemailbox1@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"rimora@thefoggi.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"room1@foggioncloud.onmicrosoft.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"room2@foggioncloud.onmicrosoft.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sala1@foggioncloud.onmicrosoft.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales_Shared@foggioncloud.onmicrosoft.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sharedmailbox1@foggioncloud.onmicrosoft.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sharedmailbox2@foggioncloud.onmicrosoft.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sts_user@foggioncloud.onmicrosoft.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"support.it@foggioncloud.onmicrosoft.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"support@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sync_AADCONNECT01_7d6f9acf8e70@foggioncloud.onmicrosoft.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tempuser1@thefoggi.com","Production","Temp User 1","False","","False","False","False","False","False","False","2018-12-10","","","","","","","","","","","","","","0","0","0","0","No","180"
"tempuser10@thefoggi.com","Production","Temp User 10","False","","False","False","False","False","False","False","","","","","","","","","","","","","POWER BI (FREE)+ENTERPRISE MOBILITY + SECURITY E5+MICROSOFT POWER AUTOMATE FREE","","0","0","0","0","No","180"
"tempuser100@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tempuser100_b@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tempuser101@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tempuser11@thefoggi.com","Production","Temp User 11","False","","False","False","False","False","False","False","","","","","","","","","","","","","ENTERPRISE MOBILITY + SECURITY E5+POWER BI (FREE)+MICROSOFT POWER AUTOMATE FREE","","0","0","0","0","No","180"
"tempuser12@thefoggi.com","Production","Temp User 12","False","","False","False","False","False","False","False","","","","","","","","","","","","","ENTERPRISE MOBILITY + SECURITY E5+MICROSOFT POWER AUTOMATE FREE+POWER BI (FREE)","","0","0","0","0","No","180"
"tempuser13@thefoggi.com","Production","Temp User 13","False","","False","False","False","False","False","False","","","","","","","","","","","","","ENTERPRISE MOBILITY + SECURITY E5+POWER BI (FREE)+MICROSOFT POWER AUTOMATE FREE","","0","0","0","0","No","180"
"tempuser14@thefoggi.com","Production","Temp User 14","False","","False","False","False","False","False","False","","","","","","","","","","","","","POWER BI (FREE)+MICROSOFT POWER AUTOMATE FREE+ENTERPRISE MOBILITY + SECURITY E5","","0","0","0","0","No","180"
"tempuser15@thefoggi.com","Production","Temp User 15","False","","False","False","False","False","False","False","","","","","","","","","","","","","ENTERPRISE MOBILITY + SECURITY E5+MICROSOFT POWER AUTOMATE FREE+POWER BI (FREE)","","0","0","0","0","No","180"
"tempuser16@thefoggi.com","Production","Temp User 16","False","","False","False","False","False","False","False","","","","","","","","","","","","","MICROSOFT POWER AUTOMATE FREE+POWER BI (FREE)+ENTERPRISE MOBILITY + SECURITY E5","","0","0","0","0","No","180"
"tempuser17@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tempuser18@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tempuser19@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tempuser2@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tempuser20@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tempuser21@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tempuser22@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tempuser23@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tempuser24@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tempuser25@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tempuser3@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tempuser4@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tempuser5@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tempuser6@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tempuser7@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tempuser8@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tempuser9@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"teste@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Teste_Write_Scope_1@foggioncloud.onmicrosoft.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"teste1@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"teste10@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"teste11@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"teste12@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"teste13@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"teste14@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"teste15@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"teste16@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"teste17@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"teste18@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"teste19@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"teste2@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"teste20@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"teste21@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"teste22@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"teste23@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"teste24@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"teste25@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"teste3@thefoggi.com","Production","Teste3","False","","False","False","False","False","False","False","2020-06-04","","","","","","","","","","","","","","0","0","0","0","No","180"
"teste4@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"teste5@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"teste6@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"teste7@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"teste8@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"teste9@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testemigra1@dfoggi.msftonlinerepro.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testemigra2@foggioncloud.onmicrosoft.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testemigra3@foggioncloud.onmicrosoft.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30001@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30002@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30003@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30004@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30005@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30006@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30007@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30008@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30009@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30010@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30011@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30012@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30013@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30014@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30015@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30016@thefoggi.com","Production","testuser_30016","False","","True","True","True","True","True","True","","","","","","","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","AZURE INFORMATION PROTECTION PREMIUM P1+OFFICE 365 E3","","0","0","0","0","No","180"
"testuser_30017@thefoggi.com","Production","testuser_30017","False","","True","True","True","True","True","True","","","","","","","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","AZURE INFORMATION PROTECTION PREMIUM P1+OFFICE 365 E3","","0","0","0","0","No","180"
"testuser_30018@thefoggi.com","Production","testuser_30018","False","","True","True","True","True","True","True","","","","","","","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","OFFICE 365 E3+AZURE INFORMATION PROTECTION PREMIUM P1","","0","0","0","0","No","180"
"testuser_30019@thefoggi.com","Production","testuser_30019","False","","True","True","True","True","True","True","","","","","","","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","AZURE INFORMATION PROTECTION PREMIUM P1+OFFICE 365 E3","","0","0","0","0","No","180"
"testuser_30020@thefoggi.com","Production","testuser_30020","False","","True","True","True","True","True","True","","","","","","","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","AZURE INFORMATION PROTECTION PREMIUM P1+OFFICE 365 E3","","0","0","0","0","No","180"
"testuser_30021@thefoggi.com","Production","testuser_30021","False","","True","True","True","True","True","True","","","","","","","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","OFFICE 365 E3+AZURE INFORMATION PROTECTION PREMIUM P1","","0","0","0","0","No","180"
"testuser_30022@thefoggi.com","Production","testuser_30022","False","","True","True","True","True","True","True","","","","","","","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","AZURE INFORMATION PROTECTION PREMIUM P1+OFFICE 365 E3","","0","0","0","0","No","180"
"testuser_30023@thefoggi.com","Production","testuser_30023","False","","True","True","True","True","True","True","","","","","","","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","OFFICE 365 E3+AZURE INFORMATION PROTECTION PREMIUM P1","","0","0","0","0","No","180"
"testuser_30024@thefoggi.com","Production","testuser_30024","False","","True","True","True","True","True","True","","","","","","","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","OFFICE 365 E3+AZURE INFORMATION PROTECTION PREMIUM P1","","0","0","0","0","No","180"
"testuser_30025@thefoggi.com","Production","testuser_30025","False","","True","True","True","True","True","True","","","","","","","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","OFFICE 365 E3+AZURE INFORMATION PROTECTION PREMIUM P1","","0","0","0","0","No","180"
"testuser_30026@thefoggi.com","Production","testuser_30026","False","","True","True","True","True","True","True","","","","","","","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","OFFICE 365 E3+AZURE INFORMATION PROTECTION PREMIUM P1","","0","0","0","0","No","180"
"testuser_30027@thefoggi.com","Production","testuser_30027","False","","True","True","True","True","True","True","","","","","","","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","OFFICE 365 E3+AZURE INFORMATION PROTECTION PREMIUM P1","","0","0","0","0","No","180"
"testuser_30028@thefoggi.com","Production","testuser_30028","False","","True","True","True","True","True","True","","","","","","","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","AZURE INFORMATION PROTECTION PREMIUM P1+OFFICE 365 E3","","0","0","0","0","No","180"
"testuser_30029@thefoggi.com","Production","testuser_30029","False","","True","True","True","True","True","True","","","","","","","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","AZURE INFORMATION PROTECTION PREMIUM P1+OFFICE 365 E3","","0","0","0","0","No","180"
"testuser_30030@thefoggi.com","Production","testuser_30030","False","","True","True","True","True","True","True","","","","","","","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","2020-09-14","AZURE INFORMATION PROTECTION PREMIUM P1+OFFICE 365 E3","","0","0","0","0","No","180"
"testuser_30031@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30032@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30033@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30034@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30035@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30036@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30037@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30038@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30039@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30040@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30041@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30042@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30043@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30044@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30045@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30046@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30047@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30048@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30049@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30050@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30051@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30052@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30053@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30054@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30055@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30056@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30057@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30058@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30059@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30060@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30061@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30062@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30063@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30064@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30065@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30066@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30067@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30068@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30069@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30070@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30071@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30072@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30073@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"testuser_30074@thefoggi.com","Production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
